name,type,value,date
重庆,,551,2020/2/16
重庆,,553,2020/2/17
重庆,,555,2020/2/18
重庆,,560,2020/2/19
重庆,,567,2020/2/20
重庆,,572,2020/2/21
重庆,,573,2020/2/22
重庆,,575,2020/2/23
重庆,,576,2020/2/24
重庆,,576,2020/2/25
重庆,,576,2020/2/26
重庆,,576,2020/2/27
重庆,,576,2020/2/28
重庆,,576,2020/2/29
重庆,,576,2020/3/1
重庆,,576,2020/3/2
重庆,,576,2020/3/3
重庆,,576,2020/3/4
重庆,,576,2020/3/5
重庆,,576,2020/3/6
重庆,,576,2020/3/7
重庆,,576,2020/3/8
重庆,,576,2020/3/9
重庆,,576,2020/3/10
重庆,,576,2020/3/11
重庆,,576,2020/3/12
重庆,,576,2020/3/13
重庆,,576,2020/3/14
重庆,,576,2020/3/15
重庆,,576,2020/3/16
重庆,,576,2020/3/17
重庆,,576,2020/3/18
重庆,,576,2020/3/19
重庆,,576,2020/3/20
重庆,,576,2020/3/21
重庆,,577,2020/3/22
重庆,,578,2020/3/23
重庆,,578,2020/3/24
重庆,,578,2020/3/25
重庆,,578,2020/3/26
重庆,,578,2020/3/27
重庆,,578,2020/3/28
重庆,,579,2020/3/29
重庆,,579,2020/3/30
重庆,,579,2020/3/31
重庆,,579,2020/4/1
重庆,,579,2020/4/2
重庆,,579,2020/4/3
重庆,,579,2020/4/4
重庆,,579,2020/4/5
重庆,,579,2020/4/6
重庆,,579,2020/4/7
重庆,,579,2020/4/8
重庆,,579,2020/4/9
重庆,,579,2020/4/10
重庆,,579,2020/4/11
重庆,,579,2020/4/12
重庆,,579,2020/4/13
重庆,,579,2020/4/14
重庆,,579,2020/4/15
重庆,,579,2020/4/16
重庆,,579,2020/4/17
重庆,,579,2020/4/18
重庆,,579,2020/4/19
重庆,,579,2020/4/20
重庆,,579,2020/4/21
福建,,1,2020/1/22
福建,,5,2020/1/23
福建,,10,2020/1/24
福建,,18,2020/1/25
福建,,35,2020/1/26
福建,,59,2020/1/27
福建,,80,2020/1/28
福建,,84,2020/1/29
福建,,101,2020/1/30
福建,,120,2020/1/31
福建,,144,2020/2/1
福建,,159,2020/2/2
福建,,179,2020/2/3
福建,,194,2020/2/4
福建,,205,2020/2/5
福建,,215,2020/2/6
福建,,224,2020/2/7
福建,,239,2020/2/8
福建,,250,2020/2/9
福建,,261,2020/2/10
福建,,267,2020/2/11
福建,,272,2020/2/12
福建,,279,2020/2/13
福建,,281,2020/2/14
福建,,285,2020/2/15
福建,,287,2020/2/16
福建,,290,2020/2/17
福建,,292,2020/2/18
福建,,293,2020/2/19
福建,,293,2020/2/20
福建,,293,2020/2/21
福建,,293,2020/2/22
福建,,293,2020/2/23
福建,,293,2020/2/24
福建,,294,2020/2/25
福建,,294,2020/2/26
福建,,296,2020/2/27
福建,,296,2020/2/28
福建,,296,2020/2/29
福建,,296,2020/3/1
福建,,296,2020/3/2
福建,,296,2020/3/3
福建,,296,2020/3/4
福建,,296,2020/3/5
福建,,296,2020/3/6
福建,,296,2020/3/7
福建,,296,2020/3/8
福建,,296,2020/3/9
福建,,296,2020/3/10
福建,,296,2020/3/11
福建,,296,2020/3/12
福建,,296,2020/3/13
福建,,296,2020/3/14
福建,,296,2020/3/15
福建,,296,2020/3/16
福建,,296,2020/3/17
福建,,296,2020/3/18
福建,,296,2020/3/19
福建,,299,2020/3/20
福建,,303,2020/3/21
福建,,313,2020/3/22
福建,,313,2020/3/23
福建,,318,2020/3/24
福建,,322,2020/3/25
福建,,328,2020/3/26
