name,value,date
AnHui,729,2020/2/15
BeiJing,277,2020/2/15
Chongqing,360,2020/2/15
Fujian,214,2020/2/15
Gansu,41,2020/2/15
Guangdong,884,2020/2/15
Guangxi,191,2020/2/15
Guizhou,102,2020/2/15
Hainan,123,2020/2/15
Hebei,190,2020/2/15
Heilongjiang,357,2020/2/15
Henan,821,2020/2/15
Hong Kong,55,2020/2/15
Hubei,50626,2020/2/15
Hunan,576,2020/2/15
Inner Mongolia,61,2020/2/15
Jiangsu,418,2020/2/15
Jiangxi,703,2020/2/15
Jilin,62,2020/2/15
Liaoning,88,2020/2/15
Macau,7,2020/2/15
Ningxia,37,2020/2/15
Qinghai,5,2020/2/15
Shaanxi,172,2020/2/15
Shandong,376,2020/2/15
Shanghai,202,2020/2/15
Shanxi,82,2020/2/15
Sichuan,351,2020/2/15
Tianjin,85,2020/2/15
Tibet,0,2020/2/15
Xinjiang,60,2020/2/15
Yunnan,126,2020/2/15
Zhejiang,734,2020/2/15
Taiwan,16,2020/2/15
AnHui,707,2020/2/16
BeiJing,272,2020/2/16
Chongqing,344,2020/2/16
Fujian,205,2020/2/16
Gansu,36,2020/2/16
Guangdong,851,2020/2/16
Guangxi,188,2020/2/16
Guizhou,98,2020/2/16
Hainan,110,2020/2/16
Hebei,195,2020/2/16
Heilongjiang,366,2020/2/16
Henan,791,2020/2/16
Hong Kong,55,2020/2/16
Hubei,51543,2020/2/16
Hunan,540,2020/2/16
Inner Mongolia,62,2020/2/16
Jiangsu,399,2020/2/16
Jiangxi,685,2020/2/16
Jilin,59,2020/2/16
Liaoning,81,2020/2/16
Macau,5,2020/2/16
Ningxia,37,2020/2/16
Qinghai,5,2020/2/16
Shaanxi,165,2020/2/16
Shandong,364,2020/2/16
Shanghai,188,2020/2/16
Shanxi,79,2020/2/16
Sichuan,350,2020/2/16
Tianjin,79,2020/2/16
Tibet,0,2020/2/16
Xinjiang,59,2020/2/16
Yunnan,129,2020/2/16
Zhejiang,711,2020/2/16
Taiwan,18,2020/2/16
AnHui,693,2020/2/17
BeiJing,267,2020/2/17
Chongqing,328,2020/2/17
Fujian,200,2020/2/17
Gansu,33,2020/2/17
Guangdong,798,2020/2/17
Guangxi,185,2020/2/17
Guizhou,89,2020/2/17
Hainan,104,2020/2/17
Hebei,179,2020/2/17
Heilongjiang,372,2020/2/17
Henan,737,2020/2/17
Hong Kong,58,2020/2/17
Hubei,52127,2020/2/17
Hunan,508,2020/2/17
Inner Mongolia,64,2020/2/17
Jiangsu,368,2020/2/17
Jiangxi,655,2020/2/17
Jilin,55,2020/2/17
Liaoning,78,2020/2/17
Macau,5,2020/2/17
Ningxia,35,2020/2/17
Qinghai,5,2020/2/17
Shaanxi,161,2020/2/17
Shandong,350,2020/2/17
Shanghai,172,2020/2/17
Shanxi,77,2020/2/17
Sichuan,339,2020/2/17
Tianjin,79,2020/2/17
Tibet,0,2020/2/17
Xinjiang,63,2020/2/17
Yunnan,124,2020/2/17
Zhejiang,664,2020/2/17
Taiwan,20,2020/2/17
AnHui,621,2020/2/18
BeiJing,265,2020/2/18
Chongqing,301,2020/2/18
Fujian,199,2020/2/18
Gansu,29,2020/2/18
Guangdong,763,2020/2/18
Guangxi,173,2020/2/18
Guizhou,80,2020/2/18
Hainan,84,2020/2/18
Hebei,170,2020/2/18
Heilongjiang,353,2020/2/18
Henan,735,2020/2/18
Hong Kong,60,2020/2/18
Hubei,52554,2020/2/18
Hunan,480,2020/2/18
Inner Mongolia,65,2020/2/18
Jiangsu,349,2020/2/18
